Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Stig Sjödin ,,,,,14,Numbered,red,"Konsthallen, Sandviken",60.6208395,16.7802191,,,,
Konsthallen,,,,Vi börjar vår vandring utanför Konsthallen,14,Hidden,red,"Konsthallen, Sandviken",60.6208395,16.7802191,,,,
,https://www.youtube.com/embed/xeHirBXSKfU?si=jNtZwx0A9abFFBDf,"Source: US National Park Service, public domain",,"   ""Anteckningar om arbetet ingår i diktsamlingen ”Livets starka smak” (1974). Den finner du på muren vid konsthallens entré."",

Den orangefärgade röken från rostugnen står vackert mot vinterhimlen,
ett utropstecken som varslar om ekonomisk potens.
Den påstås vara ofarlig.
För övrigt måste människorna ha sin utkomst, ju.
Närma dig den stora, vibrerande maskinen till fots.
Då får du proportioner, den slukar nya km varje år.
Du hör hur det dova morret växer till larm.
Egentligen är ljuden ofarliga i sig, liksom det de representerar.
Likaså röken, även om snön blir apelsingul.

Bara man inte kommer i närheten,
bara man inte fumlar med maskinen och riskerar en lem,
bara man inte ställer sig i vägen för elden,
för fallande last, för alla verktyg och redskap och grejor,
som bearbetar människokött lika opersonligt som metaller.
Veterligen har industrialismen inte för avsikt att göra någon illa.
Gifter, rök, syror, gaser, damm och annat sattyg,
som oturligt nog råkar bli biprodukter
är inte illa menade eller avsedda att skada natur och människor.
Allting tillverkas med de bästa avsikter.
Den apelsinfärgade röken är endast ett bevis
för att idog kapitalinsamling pågår.
Antasta den avsikten om du kan!",16,2,red,Anteckningar från arbetet,60.6188395,16.7812191,,,,
Lincoln Memorial,https://live.staticflickr.com/3747/9114059928_b5f4d56ce6_z.jpg,"Source: Anthony Citrano/Flickr, Creative Commons BY-NC-ND",https://flic.kr/p/eTnWuh,"Also, you can link directly to photos in external web servers, such as Flickr and Wikimedia. To add a Flickr photo, click its Share button, choose a small-to-medium size, copy its embed code, and paste only the portion with the web address that begins with ""https://live.staticflickr.com/...."" and ends in JPG or PNG. To add a Wikimedia image, select a small-to-medium size and copy its direct link, which ends in JPG or PNG. Always credit your image sources.<br><br>The Lincoln Memorial was constructed at the western edge of the Mall in 1922.",17,3,red,Andakt,60.6223,16.7836,,,,
"March on Washington at Lincoln Memorial, 1963",media/king-1963-npr.jpg,"Source: Agence France Presse/Getty Images, published by National Public Radio (2010)",https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,"The Lincoln Memorial has been the setting for many civil rights protests, such as Dr. Martin Luther King Jr.'s speech during the 1963 March on Washington.",17,Hidden,red,,,,,,,
"""I Have A Dream"" Speech by Dr. King, 1963",media/king-1963-npr.mp3,"Source: ""Talk of the Nation,"" National Public Radio (2010)",https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,"In addition to images, you can also upload or link to audio files, which must be in one of these formats: mp3 (recommended), ogg, or wav. The template will automatically recognize audio files and allow readers to play them.<br><br>Listen to this short audio excerpt from Dr. King's 1963 speech at the Lincoln Memorial.",17,Hidden,red,,,,,,,
"I åttan, där vevaxlarna...",,,,,17,4,red,,60.6164424,16.785315,https://mapwarper.net/maps/tile/99367/{z}/{x}/{y}.png,0.7,,
,media/sheet-row-to-hash-number.png,Google Sheet row number - 1 = hash number displayed in web browser.,,"The code template assigns each chapter a unique web address that ends with a numerical hashtag (such as ...#13). This means you can send people links to specific chapters, or refer back to another chapter in this storymap, such as <a href='index.html#2'>this internal link to chapter 2</a>.<br><br>Now hashtag #1 now matches your 1st row of content, immediately below the column headers, in the second row of your Google Sheet. In other words, spreadsheet row number - 1 = hashtag number. ",,Hidden,,,,,,,,

Learn More,,,,"To learn more about the Leaflet Storymaps with Google Sheets template, see our book: Hands-On Data Visualization.",,,,,,,,,,
